epoch 0001 | train 2.370272 | val 0.464484 | lr 1.00e-03
epoch 0002 | train 0.952390 | val 0.168726 | lr 1.00e-03
epoch 0003 | train 0.577736 | val 0.131117 | lr 1.00e-03
epoch 0004 | train 0.328247 | val 0.117620 | lr 1.00e-03
epoch 0005 | train 0.302781 | val 0.132286 | lr 1.00e-03
epoch 0006 | train 0.308851 | val 0.100078 | lr 1.00e-03
epoch 0007 | train 0.307706 | val 0.226248 | lr 1.00e-03
epoch 0008 | train 0.405404 | val 0.133396 | lr 1.00e-03
epoch 0009 | train 0.213408 | val 0.269075 | lr 1.00e-03
epoch 0010 | train 0.233082 | val 0.145794 | lr 1.00e-03
epoch 0011 | train 0.182476 | val 0.122981 | lr 1.00e-03
epoch 0012 | train 0.159982 | val 0.087137 | lr 1.00e-03
epoch 0013 | train 0.173193 | val 0.573800 | lr 1.00e-03
epoch 0014 | train 0.182003 | val 0.071370 | lr 1.00e-03
epoch 0015 | train 0.269457 | val 0.093107 | lr 1.00e-03
epoch 0016 | train 0.137816 | val 0.217534 | lr 1.00e-03
epoch 0017 | train 0.143572 | val 0.140583 | lr 1.00e-03
epoch 0018 | train 0.108937 | val 0.060895 | lr 1.00e-03
epoch 0019 | train 0.132799 | val 0.075638 | lr 1.00e-03
epoch 0020 | train 0.200852 | val 0.110562 | lr 1.00e-03
epoch 0021 | train 0.127990 | val 0.068699 | lr 1.00e-03
epoch 0022 | train 0.306862 | val 0.149168 | lr 1.00e-03
epoch 0023 | train 0.181565 | val 0.107072 | lr 1.00e-03
epoch 0024 | train 0.187239 | val 0.078705 | lr 1.00e-03
epoch 0025 | train 0.156259 | val 0.057817 | lr 1.00e-03
epoch 0026 | train 0.095662 | val 0.054554 | lr 1.00e-03
epoch 0027 | train 0.097662 | val 0.058733 | lr 1.00e-03
epoch 0028 | train 0.137997 | val 0.064848 | lr 1.00e-03
epoch 0029 | train 0.083608 | val 0.078365 | lr 1.00e-03
epoch 0030 | train 0.117234 | val 0.086953 | lr 1.00e-03
epoch 0031 | train 0.154702 | val 0.072182 | lr 1.00e-03
epoch 0032 | train 0.097927 | val 0.052865 | lr 1.00e-03
epoch 0033 | train 0.114417 | val 0.052085 | lr 1.00e-03
epoch 0034 | train 0.109786 | val 0.051717 | lr 1.00e-03
epoch 0035 | train 0.068746 | val 0.296825 | lr 1.00e-03
epoch 0036 | train 0.208250 | val 0.057226 | lr 1.00e-03
epoch 0037 | train 0.123654 | val 0.053935 | lr 1.00e-03
epoch 0038 | train 0.109352 | val 0.056640 | lr 1.00e-03
epoch 0039 | train 0.080959 | val 0.214336 | lr 1.00e-03
epoch 0040 | train 0.123891 | val 0.051801 | lr 1.00e-03
epoch 0041 | train 0.086503 | val 0.051322 | lr 1.00e-03
epoch 0042 | train 0.091245 | val 0.270063 | lr 1.00e-03
epoch 0043 | train 0.147412 | val 0.050256 | lr 1.00e-03
epoch 0044 | train 0.076828 | val 0.052822 | lr 1.00e-03
epoch 0045 | train 0.080467 | val 0.153032 | lr 1.00e-03
epoch 0046 | train 0.130196 | val 0.166466 | lr 1.00e-03
epoch 0047 | train 0.076136 | val 0.069798 | lr 1.00e-03
epoch 0048 | train 0.088985 | val 0.061667 | lr 1.00e-03
epoch 0049 | train 0.058719 | val 0.047367 | lr 1.00e-03
epoch 0050 | train 0.085173 | val 0.047258 | lr 1.00e-03
saved checkpoints\ckpt_epoch0050.pt
epoch 0051 | train 0.094877 | val 0.048938 | lr 1.00e-03
epoch 0052 | train 0.085293 | val 0.089201 | lr 1.00e-03
epoch 0053 | train 0.091865 | val 0.046855 | lr 1.00e-03
epoch 0054 | train 0.088933 | val 0.060466 | lr 1.00e-03
epoch 0055 | train 0.064793 | val 0.061985 | lr 1.00e-03
epoch 0056 | train 0.062596 | val 0.042499 | lr 1.00e-03
epoch 0057 | train 0.061158 | val 0.039305 | lr 1.00e-03
epoch 0058 | train 0.098968 | val 0.051155 | lr 1.00e-03
epoch 0059 | train 0.077188 | val 0.042373 | lr 1.00e-03
epoch 0060 | train 0.081388 | val 0.052274 | lr 1.00e-03
epoch 0061 | train 0.060730 | val 0.046731 | lr 1.00e-03
